"PRA","Payment Request Api"
"Enable PRA","Payment Request Api aktivieren"
"Redirect to success page","Auf die Bestellbestätigung weiterleiten"
"Only for Product page. Redirect to success page after payment success(YES) or stay on product page(No).","Nur für die Produktseite. Auf die Bestellbestätigung weiterleiten (ja) oder auf der Produktseite verbleiben (nein)"
"Buy now","Jetzt bezahlen"
"Would you like to buy other items from cart as well?","Möchten Sie die Artikel in Ihrem Warenkorb ebenfalls bezahlen?"
"An error occurred while buying. Please review the log and try again.","Wären des Kaufprozess ist ein Fehler aufgetreten. Bitte versuchen Sie es noch einmal."
"Wrong data provided","Es wurden keine korrekten Daten angegeben"
"Card number is required","Die Kartennummer wird benötigt"
"Card number is not valid","Die Kartennummer ist ungültig"
"Grand Total","Gesamtsumme"
"%s handling fee", "%s Bearbeitungsgebühr"
"Shipping methods not available","Versandarten nicht verfügbar"
